Customer_ID,Customer_Name,Age,Gender,Annual_Income,Spending_Score,Marital_Status,Product_Category,Years_as_Customer,Number_of_Transactions,Average_Transaction_Amount,Loyalty_Card,Discount_Avail,Preferred_Shopping_Channel,Customer_Segment
1,John Wilson,40,1,87527,1,0,Groceries,15,94,314.4,0,1,Online,0
2,Laura Stein,57,0,75867,64,0,Clothing,1,72,627.46,0,0,Online,0
3,Zachary Phillips,53,1,76722,34,1,Groceries,13,13,984.19,0,0,Online,1
4,Jose Dominguez,26,0,142248,30,1,Sports,3,57,182.25,1,1,Online,0
5,Brent Thomas,50,0,132721,31,1,Home,13,56,689.82,0,0,Online,2
6,James Guzman,21,1,75250,6,0,Clothing,4,6,670.39,0,0,Online,0
7,Richard Stevens,50,1,101822,66,0,Sports,2,63,577.5,0,1,In-Store,0
8,Ryan Barrett,67,0,20127,43,0,Sports,4,53,225.04,0,0,Online,2
9,Stephanie Myers,63,1,70160,58,0,Clothing,16,63,392.46,1,1,Online,1
10,Brian Villa,68,0,111280,11,0,Electronics,8,19,494.81,1,1,In-Store,2
11,Patrick Alexander,54,0,90995,96,1,Home,9,34,608.31,0,0,In-Store,1
12,Kenneth Nelson,41,1,20732,76,0,Clothing,3,68,209.52,0,1,Online,1
13,Teresa Gutierrez,65,0,92690,96,0,Home,17,73,291.57,1,1,In-Store,0
14,Andrew Martin,63,1,123136,15,0,Clothing,11,46,104.74,0,0,In-Store,2
15,Jennifer Reynolds,51,1,66750,91,1,Electronics,1,78,906.59,0,1,Online,2
16,Anthony Price,56,0,53267,44,1,Electronics,11,18,793.85,0,0,In-Store,0
17,Lori Richardson,56,0,51752,85,0,Groceries,15,74,305.92,1,0,Online,1
18,Keith Gonzalez,27,0,74559,13,1,Groceries,11,3,407.62,0,0,In-Store,0
19,John Morales,67,1,83482,11,1,Home,6,35,612.23,1,1,In-Store,2
20,Dr. Dominic Alvarado DDS,55,1,131916,23,0,Sports,12,1,479.2,1,0,Online,2
21,Fernando Johnson,21,1,78071,72,1,Electronics,12,31,192.66,0,0,Online,0
22,Christina Lopez,23,1,80534,52,1,Sports,10,87,645.51,0,1,In-Store,0
23,Ruben Bell,31,1,134864,78,0,Home,12,3,756.06,0,1,In-Store,1
24,Jeremy Mann,66,1,102161,82,1,Sports,2,63,772.09,0,1,In-Store,2
25,Robert Baker,20,1,84810,55,0,Sports,17,34,540.49,1,0,Online,0
26,Pamela Malone,39,1,68670,4,0,Sports,4,11,722.42,0,1,Online,0
27,Kenneth Lewis,20,1,47174,18,0,Electronics,19,68,181.28,1,0,In-Store,2
28,Zachary Berg,55,0,96993,27,0,Home,2,31,752.59,1,0,Online,1
