Customer_ID,Customer_Name,Age,Gender,Annual_Income,Spending_Score,Marital_Status,Product_Category,Years_as_Customer,Number_of_Transactions,Average_Transaction_Amount,Loyalty_Card,Discount_Avail,Preferred_Shopping_Channel,Customer_Segment,Income_Bin,Age_Bin
1,John Wilson,40,Male,87527,1,Single,Groceries,15,94,314.4,No,Yes,Online,Low Value,Mid,Middle Age
2,Laura Stein,57,Female,75867,64,Single,Clothing,1,72,627.46,No,No,Online,Low Value,Mid,Senior
3,Zachary Phillips,53,Male,76722,34,Married,Groceries,13,13,984.19,No,No,Online,Medium Value,Mid,Senior
4,Jose Dominguez,26,Female,142248,30,Married,Sports,3,57,182.25,Yes,Yes,Online,Low Value,High,Youth
5,Brent Thomas,50,Female,132721,31,Married,Home,13,56,689.82,No,No,Online,High Value,High,Senior
6,James Guzman,21,Male,75250,6,Single,Clothing,4,6,670.39,No,No,Online,Low Value,Mid,Youth
7,Richard Stevens,50,Male,101822,66,Single,Sports,2,63,577.5,No,Yes,In-Store,Low Value,Upper-Mid,Senior
8,Ryan Barrett,67,Female,20127,43,Single,Sports,4,53,225.04,No,No,Online,High Value,Low,Elder
9,Stephanie Myers,63,Male,70160,58,Single,Clothing,16,63,392.46,Yes,Yes,Online,Medium Value,Lower-Mid,Elder
10,Brian Villa,68,Female,111280,11,Single,Electronics,8,19,494.81,Yes,Yes,In-Store,High Value,Upper-Mid,Elder
11,Patrick Alexander,54,Female,90995,96,Married,Home,9,34,608.31,No,No,In-Store,Medium Value,Mid,Senior
12,Kenneth Nelson,41,Male,20732,76,Single,Clothing,3,68,209.52,No,Yes,Online,Medium Value,Low,Middle Age
13,Teresa Gutierrez,65,Female,92690,96,Single,Home,17,73,291.57,Yes,Yes,In-Store,Low Value,Mid,Elder
14,Andrew Martin,63,Male,123136,15,Single,Clothing,11,46,104.74,No,No,In-Store,High Value,Upper-Mid,Elder
15,Jennifer Reynolds,51,Male,66750,91,Married,Electronics,1,78,906.59,No,Yes,Online,High Value,Lower-Mid,Senior
16,Anthony Price,56,Female,53267,44,Married,Electronics,11,18,793.85,No,No,In-Store,Low Value,Lower-Mid,Senior
17,Lori Richardson,56,Female,51752,85,Single,Groceries,15,74,305.92,Yes,No,Online,Medium Value,Lower-Mid,Senior
18,Keith Gonzalez,27,Female,74559,13,Married,Groceries,11,3,407.62,No,No,In-Store,Low Value,Mid,Youth
19,John Morales,67,Male,83482,11,Married,Home,6,35,612.23,Yes,Yes,In-Store,High Value,Mid,Elder
20,Dr. Dominic Alvarado DDS,55,Male,131916,23,Single,Sports,12,1,479.2,Yes,No,Online,High Value,High,Senior
21,Fernando Johnson,21,Male,78071,72,Married,Electronics,12,31,192.66,No,No,Online,Low Value,Mid,Youth
22,Christina Lopez,23,Male,80534,52,Married,Sports,10,87,645.51,No,Yes,In-Store,Low Value,Mid,Youth
23,Ruben Bell,31,Male,134864,78,Single,Home,12,3,756.06,No,Yes,In-Store,Medium Value,High,Young Adult
24,Jeremy Mann,66,Male,102161,82,Married,Sports,2,63,772.09,No,Yes,In-Store,High Value,Upper-Mid,Elder
25,Robert Baker,20,Male,84810,55,Single,Sports,17,34,540.49,Yes,No,Online,Low Value,Mid,Youth
26,Pamela Malone,39,Male,68670,4,Single,Sports,4,11,722.42,No,Yes,Online,Low Value,Lower-Mid,Middle Age
27,Kenneth Lewis,20,Male,47174,18,Single,Electronics,19,68,181.28,Yes,No,In-Store,High Value,Lower-Mid,Youth
28,Zachary Berg,55,Female,96993,27,Single,Home,2,31,752.59,Yes,No,Online,Medium Value,Mid,Senior
29,Rodney Gonzalez,48,Female,89904,16,Married,Clothing,15,15,360.0,Yes,Yes,Online,Low Value,Mid,Middle Age
30,Ann Torres,42,Female,29488,60,Single,Clothing,1,97,213.19,Yes,Yes,In-Store,High Value,Low,Middle Age
31,Barbara Turner,55,Male,134171,30,Married,Clothing,1,62,430.91,Yes,No,Online,Medium Value,High,Senior
32,Sarah Kelly,62,Male,66016,54,Married,Sports,8,26,576.24,No,No,Online,Low Value,Lower-Mid,Elder
33,Christopher Zavala,25,Female,64290,17,Married,Clothing,18,93,164.01,No,No,In-Store,Medium Value,Lower-Mid,Youth
34,Susan Holt,61,Female,133979,17,Single,Sports,19,10,360.09,Yes,Yes,Online,Low Value,High,Elder
35,Jason Pratt,43,Female,149801,64,Single,Clothing,7,12,735.5,Yes,No,In-Store,Medium Value,High,Middle Age
36,Danielle Munoz,53,Female,102419,44,Single,Electronics,14,26,58.98,Yes,Yes,In-Store,Low Value,Upper-Mid,Senior
37,Lindsey Johnson,56,Male,85377,72,Married,Electronics,6,20,842.11,No,No,In-Store,Medium Value,Mid,Senior
38,Cameron Maxwell,22,Male,96720,43,Married,Clothing,6,65,77.69,Yes,No,Online,High Value,Mid,Youth
39,Ashley Prince,28,Female,89297,89,Married,Groceries,3,38,320.51,Yes,Yes,In-Store,High Value,Mid,Youth
40,John Clark,47,Female,50945,56,Single,Electronics,6,34,480.17,No,No,In-Store,Medium Value,Lower-Mid,Middle Age
41,Megan Cruz,23,Male,76476,40,Single,Sports,4,69,51.96,No,No,In-Store,Medium Value,Mid,Youth
42,Mary Johnson,59,Male,46819,5,Single,Sports,5,90,789.81,Yes,No,In-Store,Medium Value,Lower-Mid,Elder
43,Edward Tran,64,Female,34754,86,Single,Sports,12,34,656.3,Yes,Yes,In-Store,High Value,Low,Elder
44,Alison Long,68,Female,111962,9,Married,Clothing,9,30,454.48,No,Yes,In-Store,High Value,Upper-Mid,Elder
45,Samantha Ortega,62,Female,141337,39,Married,Groceries,17,93,868.16,No,Yes,In-Store,High Value,High,Elder
46,Nancy Conrad,38,Female,29186,77,Single,Clothing,11,51,273.68,Yes,No,Online,High Value,Low,Young Adult
47,Brittany Lang,56,Female,128152,29,Single,Sports,5,55,188.3,No,Yes,Online,Medium Value,High,Senior
48,Paul Lewis,69,Male,126580,93,Married,Electronics,9,6,32.26,Yes,Yes,Online,Medium Value,High,Elder
49,Michelle Tapia,45,Male,58041,80,Single,Home,7,86,722.04,Yes,Yes,Online,High Value,Lower-Mid,Middle Age
50,Jennifer Walker,67,Female,98032,65,Married,Electronics,5,86,633.51,No,Yes,In-Store,Low Value,Upper-Mid,Elder
51,Tyler Russell,55,Male,141390,82,Single,Groceries,13,19,908.37,No,Yes,Online,Medium Value,High,Senior
52,Andrew Perry,50,Female,110695,76,Single,Home,13,57,525.03,No,Yes,In-Store,High Value,Upper-Mid,Senior
53,Janet Henderson,67,Female,133336,60,Single,Clothing,4,36,83.18,No,No,Online,Medium Value,High,Elder
54,Gary Ramirez,28,Female,27492,34,Married,Home,12,80,423.57,No,Yes,In-Store,Medium Value,Low,Youth
55,Michelle Hanson,36,Male,98424,21,Single,Clothing,4,35,86.44,No,No,In-Store,Low Value,Upper-Mid,Young Adult
56,Lawrence Alexander,68,Female,72163,64,Single,Electronics,12,75,587.31,Yes,No,In-Store,Medium Value,Mid,Elder
57,Lindsay Sullivan,46,Female,23373,34,Married,Electronics,9,30,68.03,Yes,Yes,Online,High Value,Low,Middle Age
58,Brittany Skinner,48,Female,124504,97,Single,Electronics,10,66,346.8,Yes,Yes,Online,Low Value,High,Middle Age
59,William Wells,18,Male,71162,16,Married,Home,10,33,577.8,No,No,Online,Medium Value,Lower-Mid,Youth
60,April Wagner,68,Female,140481,50,Single,Clothing,9,40,275.63,No,Yes,In-Store,Low Value,High,Elder
61,Melissa Lopez,35,Female,25991,4,Single,Electronics,13,39,855.85,Yes,No,In-Store,Low Value,Low,Young Adult
62,Kelly Rowe,50,Female,81510,75,Single,Groceries,17,15,118.19,No,No,In-Store,High Value,Mid,Senior
63,Jake Choi,57,Male,59382,91,Single,Sports,7,20,777.7,Yes,No,Online,Low Value,Lower-Mid,Senior
64,Denise Choi,63,Male,139296,43,Married,Clothing,7,75,980.07,No,No,Online,High Value,High,Elder
65,Francisco Smith,21,Female,77090,17,Married,Home,7,84,72.7,No,Yes,In-Store,High Value,Mid,Youth
66,Michael Harrison,28,Male,59263,53,Married,Clothing,11,69,443.29,No,Yes,In-Store,High Value,Lower-Mid,Youth
67,John Ramirez,28,Male,66138,95,Single,Sports,2,13,994.97,Yes,No,Online,Medium Value,Lower-Mid,Youth
68,Thomas Rivas,42,Male,20572,5,Married,Groceries,6,81,91.85,Yes,Yes,In-Store,High Value,Low,Middle Age
69,Duane Klein,19,Female,58606,61,Married,Home,19,97,993.2,Yes,Yes,In-Store,Medium Value,Lower-Mid,Youth
70,Melissa Murillo,44,Male,149762,85,Married,Electronics,19,53,297.04,No,No,In-Store,Low Value,High,Middle Age
71,Kristin Pena,44,Female,53659,85,Married,Electronics,17,5,286.52,Yes,No,Online,High Value,Lower-Mid,Middle Age
72,Mary Moore,20,Female,139197,4,Single,Home,6,64,301.84,Yes,Yes,In-Store,High Value,High,Youth
73,Jason Lawson,61,Female,47721,47,Married,Home,7,61,916.07,No,No,In-Store,High Value,Lower-Mid,Elder
74,Jaime Torres,26,Female,31262,3,Single,Clothing,13,24,838.3,Yes,Yes,In-Store,Medium Value,Low,Youth
75,Derek Johnson,23,Male,90649,23,Single,Electronics,7,72,408.14,Yes,Yes,In-Store,Low Value,Mid,Youth
76,Tonya Klein,44,Female,72812,9,Married,Sports,3,27,403.73,No,No,In-Store,Low Value,Mid,Middle Age
77,Andrew Sanchez,62,Female,125492,54,Married,Clothing,13,2,393.0,Yes,No,Online,Medium Value,High,Elder
78,Jacqueline Jensen,36,Male,109759,30,Married,Electronics,6,57,285.68,No,No,In-Store,Medium Value,Upper-Mid,Young Adult
79,Theresa Walker,50,Female,120377,72,Married,Home,13,17,493.98,No,No,Online,Low Value,Upper-Mid,Senior
80,Dr. Angela Reyes,32,Female,82081,40,Married,Home,2,56,799.03,No,No,In-Store,Low Value,Mid,Young Adult
81,Carlos Woods,44,Male,74591,36,Single,Clothing,6,94,398.4,No,No,In-Store,High Value,Mid,Middle Age
